NRM_position,NRM_error,NRM_velocity,DNN_position,DNN_error,DNN_velocity,CNN_position,CNN_error,CNN_velocity,FSCNN_position,FSCNN_error,FSCNN_velocity,field_v,field_s
19.52,14.713711,1.2,19.52,10.165197,1.2,19.52,6.81788,1.2,19.52,4.6303287,1.2,1.2,19.52
19.14,14.485216,1.19,19.14,9.920548,1.19,19.14,6.61651,1.19,19.14,4.539791,1.19,1.19,19.14
18.84,14.340182,1.19,18.84,9.713165,1.19,18.84,6.412103,1.19,18.84,4.4464836,1.19,1.19,18.84
18.6,13.957052,1.19,18.6,9.537053,1.19,18.6,6.237054,1.19,18.6,4.3414817,1.19,1.19,18.6
18.28,13.675172,1.19,18.28,9.311477,1.19,18.28,6.076429,1.19,18.28,4.252222,1.19,1.19,18.28
17.94,13.329942,1.19,17.94,9.129304,1.19,17.94,5.91304,1.19,17.94,4.166752,1.19,1.19,17.94
17.68,12.981516,1.19,17.68,8.976999,1.19,17.68,5.77194,1.19,17.68,4.056498,1.19,1.19,17.68
17.32,12.71308,1.19,17.32,8.728622,1.19,17.32,5.636521,1.19,17.32,3.9720747,1.19,1.19,17.32
17.02,12.35308,1.19,17.02,8.530286,1.19,17.02,5.490782,1.19,17.02,3.8888934,1.19,1.19,17.02
16.76,12.053081,1.19,16.76,8.337864,1.19,16.76,5.3526306,1.19,16.76,3.7944305,1.19,1.19,16.76
16.48,11.79308,1.19,16.48,8.106648,1.19,16.48,5.22772,1.19,16.48,3.7062402,1.19,1.19,16.48
16.12,11.51308,1.19,16.12,7.9112377,1.19,16.12,5.0866356,1.19,16.12,3.6242104,1.19,1.19,16.12
15.86,11.153081,1.19,15.86,7.7474957,1.19,15.86,4.957962,1.19,15.86,3.531618,1.19,1.19,15.86
15.52,10.89308,1.19,15.52,7.517633,1.19,15.52,4.8314037,1.19,15.52,3.442792,1.19,1.19,15.52
15.22,10.553081,1.18,15.22,7.307573,1.18,15.22,4.696262,1.18,15.22,3.3550193,1.18,1.18,15.22
14.96,10.486404,1.18,14.96,7.116623,1.18,14.96,4.5630527,1.18,14.96,3.2632282,1.18,1.18,14.96
14.66,10.143878,1.18,14.66,6.9051805,1.18,14.66,4.4441695,1.18,14.66,3.1733308,1.18,1.18,14.66
14.3,9.8022995,1.18,14.3,6.71545,1.18,14.3,4.317028,1.18,14.3,3.0884578,1.18,1.18,14.3
14.04,9.417252,1.18,14.04,6.558619,1.18,14.04,4.1976185,1.18,14.04,2.9976077,1.18,1.18,14.04
13.7,9.148886,1.18,13.7,6.332902,1.18,13.7,4.0830436,1.18,13.7,2.9079435,1.18,1.18,13.7
13.78,8.80051,1.18,13.78,6.1190004,1.18,13.78,3.9567485,1.18,13.78,2.8231347,1.18,1.18,13.78
13.54,8.88051,1.18,13.54,5.9107842,1.18,13.54,3.8395689,1.18,13.54,2.7431405,1.18,1.18,13.54
13.22,8.640511,1.18,13.22,5.8174396,1.18,13.22,3.7467365,1.18,13.22,2.651685,1.18,1.18,13.22
12.84,8.320511,1.17,12.84,5.768896,1.17,12.84,3.6481404,1.17,12.84,2.5770698,1.17,1.17,12.84
12.6,8.172191,1.17,12.6,5.5820684,1.17,12.6,3.5561783,1.17,12.6,2.4890058,1.17,1.17,12.6
12.22,7.850269,1.17,12.22,5.3083835,1.17,12.22,3.458347,1.17,12.22,2.4132075,1.17,1.17,12.22
11.92,7.4289923,1.17,11.92,5.1762238,1.17,11.92,3.3521001,1.17,11.92,2.3255754,1.17,1.17,11.92
11.7,7.104125,1.18,11.7,4.985499,1.18,11.7,3.253534,1.18,11.7,2.2649138,1.18,1.18,11.7
11.4,6.949966,1.18,11.4,4.7544565,1.18,11.4,3.1399055,1.18,11.4,2.1841178,1.18,1.18,11.4
11.04,6.575578,1.18,11.04,4.5588803,1.18,11.04,3.0236099,1.18,11.04,2.1005173,1.18,1.18,11.04
10.8,6.173959,1.18,10.8,4.401258,1.18,10.8,2.9064133,1.18,10.8,2.0252936,1.18,1.18,10.8
10.44,5.9172516,1.18,10.44,4.1424613,1.18,10.44,2.7523603,1.18,10.44,1.9404621,1.18,1.18,10.44
10.12,5.5488853,1.17,10.12,3.9308343,1.17,10.12,2.6026156,1.17,10.12,1.8577284,1.17,1.17,10.12
9.86,5.444036,1.17,9.86,3.754255,1.17,9.86,2.46406,1.17,9.86,1.7693144,1.17,1.17,9.86
9.56,5.102029,1.17,9.56,3.5207953,1.17,9.56,2.3353736,1.17,9.56,1.692712,1.17,1.17,9.56
9.2,4.760712,1.17,9.2,3.323872,1.17,9.2,2.1978323,1.17,9.2,1.6086282,1.17,1.17,9.2
8.94,4.3841248,1.17,8.94,3.1728845,1.17,8.94,2.0705628,1.17,8.94,1.5220617,1.17,1.17,8.94
8.6,4.11582,1.17,8.6,2.9442756,1.17,8.6,1.9454873,1.17,8.6,1.4338732,1.17,1.17,8.6
8.3,3.7675061,1.16,8.3,2.727685,1.16,8.3,1.8162762,1.16,8.3,1.3443168,1.16,1.16,8.3
8.06,3.6975412,1.17,8.06,2.5407472,1.17,8.06,1.6879607,1.17,8.06,1.2554395,1.17,1.17,8.06
7.76,3.3020296,1.17,7.76,2.3245466,1.17,7.76,1.5718471,1.17,7.76,1.1600181,1.17,1.17,7.76
7.4,2.960712,1.17,7.4,2.139195,1.17,7.4,1.4419487,1.17,7.4,1.0723319,1.17,1.17,7.4
7.14,2.584125,1.17,7.14,1.9792476,1.17,7.14,1.3233436,1.17,7.14,0.97927374,1.17,1.17,7.14
6.8,2.3158202,1.17,6.8,1.7384549,1.17,6.8,1.2022558,1.17,6.8,0.8813986,1.17,1.17,6.8
6.5,1.9675059,1.17,6.5,1.5149511,1.17,6.5,1.0646055,1.17,6.5,0.79159284,1.17,1.17,6.5
6.26,1.6675057,1.17,6.26,1.3344909,1.17,6.26,0.9288496,1.17,6.26,0.69289523,1.17,1.17,6.26
5.96,1.427506,1.17,5.96,1.1128397,1.17,5.96,0.7971144,1.17,5.96,0.58943176,1.17,1.17,5.96
5.58,1.1275058,1.16,5.58,0.9198663,1.16,5.58,0.66684586,1.16,5.58,0.49855846,1.16,1.16,5.58
5.36,0.9694476,1.16,5.36,0.7510271,1.16,5.36,0.54700303,1.16,5.36,0.40381235,1.16,1.16,5.36
5,0.668046,1.16,5,0.51781344,1.16,5,0.43875465,1.16,5,0.31075624,1.16,1.16,5
4.7,0.26703024,1.16,4.75,0.3275301,1.16,4.7,0.3042266,1.16,4.67,0.24167484,1.16,1.16,4.7
4.5,-0.04943562,1.16,4.54,0.14438525,1.16,4.44,0.05973344,1.16,4.42,0.01825836,1.16,1.16,4.46
4.2,-0.2976799,1.16,4.22,-0.22923318,1.16,4.12,-0.217387,1.16,4.1,-0.17624651,1.16,1.16,4.14
3.86,-0.6259341,1.16,3.88,-0.68495786,1.16,3.78,-0.39444253,1.16,3.76,-0.3166598,1.16,1.16,3.8
3.62,-0.96593404,1.16,3.64,-1.1439065,1.16,3.54,-0.5820816,1.16,3.52,-0.47757444,1.16,1.16,3.56
3.26,-1.205934,1.16,3.28,-1.5424671,1.16,3.18,-0.80431825,1.16,3.16,-0.66121125,1.16,1.16,3.2
2.96,-1.565934,1.16,2.98,-1.941178,1.16,2.88,-0.97883284,1.16,2.86,-0.8446989,1.16,1.16,2.9
2.7,-1.8659339,1.16,2.72,-2.3085184,1.16,2.62,-1.1821929,1.16,2.6,-1.0206662,1.16,1.16,2.64
2.42,-2.125934,1.16,2.44,-2.7185576,1.16,2.34,-1.4074804,1.16,2.32,-1.2102789,1.16,1.16,2.36
2.06,-2.405934,1.16,2.08,-3.1040041,1.16,1.98,-1.5939559,1.16,1.96,-1.3874873,1.16,1.16,2
1.82,-2.602459,1.16,1.84,-3.48594,1.16,1.74,-1.7957686,1.16,1.72,-1.5602205,1.16,1.16,1.76
1.48,-2.923776,1.11,1.5,-3.911184,1.13,1.4,-2.0245738,1.13,1.38,-1.7437602,1.13,1.11,1.42
1.24,,1.03,1.26,,1.05,1.16,,1.05,1.14,,1.05,1.03,1.18
1.06,,0.96,1.08,,0.98,0.98,,0.98,0.96,,0.98,0.96,1
0.84,,0.85,0.86,,0.87,0.76,,0.87,0.74,,0.87,0.85,0.78
0.66,,0.79,0.68,,0.81,0.58,,0.81,0.56,,0.81,0.79,0.6
0.52,,0.72,0.54,,0.74,0.44,,0.74,0.42,,0.74,0.72,0.46
0.34,,0.61,0.36,,0.63,0.26,,0.63,0.24,,0.63,0.61,0.28
0.26,,0.5,0.28,,0.52,0.18,,0.52,0.16,,0.52,0.5,0.2
0.18,,0.42,0.2,,0.44,0.1,,0.44,0.08,,0.44,0.42,0.12
0.14,,0.36,0.16,,0.38,0.06,,0.38,0.04,,0.38,0.36,0.08
0.1,,0.25,0.12,,0.27,0.02,,0.27,0,,0.27,0.25,0.04
0.1,,0.17,0.12,,0.19,0.02,,0.19,0,,0.19,0.17,0.04
0.1,,0.07,0.12,,0.09,0.02,,0.09,0,,0.09,0.07,0.04
0.1,,0.04,0.12,,0.06,0.02,,0.06,0,,0.06,0.04,0.04
0.1,,0.04,0.12,,0.06,0.02,,0.06,0,,0.06,0.04,0.04
0.1,,0.03,0.12,,0.05,0.02,,0.05,0,,0.05,0.03,0.04
0.1,,0.03,0.12,,0.05,0.02,,0.05,0,,0.05,0.03,0.04
0.1,,0.02,0.12,,0.04,0.02,,0.04,0,,0.04,0.02,0.04
0.1,,0.02,0.12,,0.04,0.02,,0.04,0,,0.04,0.02,0.04
0.1,,0.01,0.12,,0.03,0.02,,0.03,0,,0.03,0.01,0.04
0.1,,0.01,0.12,,0.03,0.02,,0.03,0,,0.03,0.01,0.04
0.1,,0.01,0.12,,0.02,0.02,,0.02,0,,0.02,0.01,0.04
0.1,,0.01,0.12,,0.01,0.02,,0.01,0,,0.01,0.01,0.04
0.1,,0,0.12,,0.01,0.02,,0.01,0,,0.01,0,0.04
0.1,,0,0.12,,0,0.02,,0,0,,0,,
